group;frage;cat2_old;cat3_old;cat4_old;graphName;cat1_new;cat2_new;cat3_new;cat4_new;quote
v1;didaktik;_optimierungGleichstellung;gleichstellung;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Gleichstellung der Gruppen;;Vorbereitung von verschiedenen Interaktionselementen, Schwierigkeit vor Ort und digitale Teilnehmer:innen gleichermaßen zu berücksichtigen
v1;didaktik;_optimierungGleichstellung;gleichstellung;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Gleichstellung der Gruppen;;"nicht sicher, wie alle gleich einbezogen werden können  
"
v1;didaktik;_optimierungGleichstellung;gleichstellung;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Gleichstellung der Gruppen;;"Sobald ""hybrid"" angeboten wird, kommt keiner mehr an die Uni; dann ist eine rein digitale Veranstaltung sinnvoller; in hybriden Formaten ist es schwierig allen Beteiligten gleichermaßen gerecht zu werden"
v1;didaktik;_optimierungGleichstellung;gleichstellung;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Gleichstellung der Gruppen;;Bei obligatorischer Gruppenarbeit ist es nicht möglich, von allen Teilnehmenden ein vergleichbares Engagement einzufordern, wenn die online Teilnehmenden z.B. die Diskussionen nur schlecht mitbekommen und/oder technische Probleme haben
v2;didaktik;_optimierungGleichstellung;gleichstellung;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Gleichstellung der Gruppen;;die beiden Gruppen (Präsenz/online) werden nicht gleichzeitig in gleichem Maße angesprochen
v2;didaktik;_optimierungGleichstellung;gleichstellung;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Gleichstellung der Gruppen;;schwierig sowohl digitalen Teilnehmer:innen als auch Teilnehmer:innen in Präsenz gerecht zu werden.
v2;didaktik;_optimierungGleichstellung;gleichstellung;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Gleichstellung der Gruppen;;spezifische Unterrichtsmethoden eignen sich nur entweder für Präsenzunterricht (Arbeit mit Karteikarten und anderen physisch vorhandenen Materialien) oder für online-Unterricht (Arbeit in Break-out-rooms), Gruppenarbeit ist schwierig, oft wird man einer der Gruppen nicht gerecht, online Teilnehmende haben eine größere Hemmschwelle zu interagieren
v1;didaktik;_optimierungGleichstellung;keineOptimierung;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Sorge um Qualitätsverlulst;;-- Hybrid = Weder online noch in Präsens richtig. -- Präsensveranstaltungen helfen Studierende ihren Alltag zu organisieren. -- Synchron Hybrid würde sofort auch Nachfragen nach asynchron nach sich ziehen und Studierende noch mehr Möglichkeiten geben, dass Lernen zu procrastinineren.
v1;didaktik;_optimierungGleichstellung;keineOptimierung;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Sorge um Qualitätsverlulst;;Ich bevorzuge Praesenz fuer hoeheres und direkteres Engagement der Studierenden. Anhand meiner guten Unterlagen und Verfuegbarkeit fuer Studierende ist auch Selbststudium recht gut moeglich.
v1;didaktik;_optimierungGleichstellung;keineOptimierung;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Sorge um Qualitätsverlulst;;"Manche Inhalte funktionieren besser live, andere online. Synchroner Hybridunterricht  bedeutet, dass ein Teil der Gruppe eine nicht didaktisch optimierte Lehrveranstaltung erhält  
"
v1;didaktik;_optimierungGleichstellung;keineOptimierung;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Sorge um Qualitätsverlulst;;"Sobald ""hybrid"" angeboten wird, kommt keiner mehr an die Uni; dann ist eine rein digitale Veranstaltung sinnvoller; in hybriden Formaten ist es schwierig allen Beteiligten gleichermaßen gerecht zu werden"
v1;didaktik;_optimierungGleichstellung;keineOptimierung;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Sorge um Qualitätsverlulst;;schlechte Kommunikation zwischen den Teilnehmenden in Präsenz und Teilnehmenden online. Aufgaben und Übungen müssen für beide Modalitäten funktionieren, dadurch fällt einiges weg
v2;didaktik;_optimierungGleichstellung;keineOptimierung;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Sorge um Qualitätsverlulst;;spezifische Unterrichtsmethoden eignen sich nur entweder für Präsenzunterricht (Arbeit mit Karteikarten und anderen physisch vorhandenen Materialien) oder für online-Unterricht (Arbeit in Break-out-rooms), Gruppenarbeit ist schwierig, oft wird man einer der Gruppen nicht gerecht, online Teilnehmende haben eine größere Hemmschwelle zu interagieren
v1;didaktik;planung;planung_abdeckbareInhalte;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;Inhalte abdecken;;"- zu allerst der enorme zeitliche Aufwand für ungewohnte Formen der Didaktisierung; - der Fakt, das am Ende grundsätzlich weniger Inhalte vermittelt wurden als in Präsenzlehre (v.a. ggü Modulbeschreibungen deutlich)"
v1;didaktik;planung;planung_abdeckbareInhalte;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;Inhalte abdecken;;Einbindung in die Seminargruppe, Verständlichkeit bei der Übermittlung von Lehrinhalten
v1;didaktik;planung;planung_abdeckbareInhalte;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;Inhalte abdecken;;"Übungen und Demonstrationen für Online-Teilnehmende oft weniger sinnvoll  
"
v1;didaktik;planung;planung_abdeckbareInhalte;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;Inhalte abdecken;;"Manche Inhalte funktionieren besser live, andere online. Synchroner Hybridunterricht  bedeutet, dass ein Teil der Gruppe eine nicht didaktisch optimierte Lehrveranstaltung erhält  
"
v1;didaktik;planung;planung_abdeckbareInhalte;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;Inhalte abdecken;;"Inhalt  
"
v1;didaktik;planung;planung_methoden;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;Zurückhaltung der TN, keine guten Sozialformen
v1;didaktik;planung;planung_methoden;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;Vorbereitung von verschiedenen Interaktionselementen, Schwierigkeit vor Ort und digitale Teilnehmer:innen gleichermaßen zu berücksichtigen
v1;didaktik;planung;planung_methoden;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;Unterrichtsathmosphäre, Interaktionsmöglichkeiten, verteilte Aufmerksamkeit, Aktivierung der Teilnehmenden, Umsetzung von Gruppenarbeiten, Kleindiskussionen
v1;didaktik;planung;planung_methoden;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;- Für Studierende: Selbstdisziplin und Eigenständigkeit üben - Für Studierende und Lehrende: Flexibilität und Umgang mit verschiedenen Lern- und Lehrformaten
v1;didaktik;planung;planung_methoden;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;"Einbindung der verschiedenen Räume (analog, digital), Reaktionen spontan abschätzen, Gruppenarbeit organisieren, Screensharing reicht nicht aus, um die Brücken in den Diskussionen zu schlagen. 
Via Zoom häufig eher passiv, weniger engagierte Teilnahme,"
v1;didaktik;planung;planung_methoden;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;Engagement herstellen, man kann keine Materialen mitbringen, aber digital teilen
v1;didaktik;planung;planung_methoden;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;"- zu allerst der enorme zeitliche Aufwand für ungewohnte Formen der Didaktisierung; - der Fakt, das am Ende grundsätzlich weniger Inhalte vermittelt wurden als in Präsenzlehre (v.a. ggü Modulbeschreibungen deutlich)"
v1;didaktik;planung;planung_methoden;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;Gestaltung interaktiver Elemente muss doppelt und unterschiedlich erfolgen
v1;didaktik;planung;planung_methoden;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;Die mediale Aufbereitung einer Lehrveranstaltung für in Präsenz und online Teilnehmende ist sehr aufwändig, da sie sich grundsätzlich unterscheiden.
v2;didaktik;planung;planung_abdeckbareInhalte;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;Inhalte abdecken;;Stoffanpassung aufgrund des erhöhten Zeitaufwands bei hybrider Lehre
v2;didaktik;planung;planung_abdeckbareInhalte;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;Inhalte abdecken;;"Fokus auf Präsentation (Powerpoint, Keynote, PDF); weniger Fokus auf Sprache und Interaktion. Inhalt und Engagement treten müssen zurücktreten zugunsten der ""Form"", d.h. ""Form follows function"" (vgl. Dieter Rams) nicht gegeben."
v2;didaktik;planung;planung_methoden;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;Gute Organisation von kolaborativem Lernen
v2;didaktik;planung;planung_methoden;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;Manche in der reinen präsenz gut funktionierende Methoden musste ich hybrif neu denken. An sich war die reine Online-Lehre aber hierfür schon ein guter Anstoß, um am Ende in der Mitte rauszukommen. Daher ist für mich nur die Sozialform (Einzel/Plenum/Partner/Gruppen) etwas anders zu denken, da eben zwei Lernorte miteinander verknüpft werden.
v2;didaktik;planung;planung_methoden;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;Überlegung andere Arbeitsformen, um online Studies gut mit einbeziehen zu können.
v2;didaktik;planung;planung_methoden;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;Wertvolle Kombinationen von Präsenz- und Online TN (alle TN sind online und können sich in Arbeitsphasen miteinander vernetzen, so ist es egal, wo jemand sitzt und teilnimmt - alles sind aktiv miteinander vernetzt). Besserer Austausch in den Arbeitsphasen für das kollabrative Arbeiten in Gruppen, was aufgrund der statisch angeordneten Sitze sonst nicht möglich wäre. Einbindung von KI-Tools oder weiteren verknüpften dig. Anwengungen werden damit erst für alle technisch ermöglicht. Somit können jetzt ernsthaft Kompetenzen für 21st Century Skills vermittel und aktiv eingebunden werden, um Vorlesungen mit neuem Pinoneergeist im heutigen Zeitalter weiterdenken zu können.
v2;didaktik;planung;planung_methoden;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;spezifische Unterrichtsmethoden eignen sich nur entweder für Präsenzunterricht (Arbeit mit Karteikarten und anderen physisch vorhandenen Materialien) oder für online-Unterricht (Arbeit in Break-out-rooms), Gruppenarbeit ist schwierig, oft wird man einer der Gruppen nicht gerecht, online Teilnehmende haben eine größere Hemmschwelle zu interagieren
v2;didaktik;planung;planung_methoden;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;"hybride Gruppenarbeit; Rollenspiele"
v2;didaktik;planung;planung_methoden;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;Sozialformen
v2;didaktik;planung;planung_zeitaufwand;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Sonstiges;Unklar;;Zeitaufwand
v1;didaktik;_sonstiges;sozialisation;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Soziales;Sozialisation;;"Studierende nicht in Augenkontakt, Mimik, Körperhaltung nicht gleichmäßig für alle sichtbar,  all das ist entscheidend für eine angemessene und sensible Kommunikation in der Lehre,  Körperhaltung und Gestik entscheidend bei Referaten  
"
v1;didaktik;engagement;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;"Kommunikation zwischen Präsenzteilnehmern und Onlineteilnehmern schwierig; erwartbar ist, dass Onlineteilnehmer sich nebenbei anderweitig beschäftigen. Kursatmosphöre leidet."
v1;didaktik;interaktion;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;"Kommunikation zwischen Präsenzteilnehmern und Onlineteilnehmern schwierig; erwartbar ist, dass Onlineteilnehmer sich nebenbei anderweitig beschäftigen. Kursatmosphöre leidet."
v1;didaktik;humanising;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Soziales;Soziale Präsenz;;"Kommunikation zwischen Präsenzteilnehmern und Onlineteilnehmern schwierig; erwartbar ist, dass Onlineteilnehmer sich nebenbei anderweitig beschäftigen. Kursatmosphöre leidet."
v1;didaktik;engagement;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;keine adäquate Zusammenarbeit der beiden Gruppen , keine Motivation
v1;didaktik;interaktion;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;keine adäquate Zusammenarbeit der beiden Gruppen , keine Motivation
v1;didaktik;engagement;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;Zurückhaltung der TN, keine guten Sozialformen
v1;didaktik;interaktion;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;Zurückhaltung der TN, keine guten Sozialformen
v1;didaktik;humanising;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Soziales;Soziale Präsenz;;"Studierende nicht in Augenkontakt, Mimik, Körperhaltung nicht gleichmäßig für alle sichtbar,  all das ist entscheidend für eine angemessene und sensible Kommunikation in der Lehre,  Körperhaltung und Gestik entscheidend bei Referaten  
"
v1;didaktik;engagement;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;"es ist schwierig, die Aufmerksamkeit aller in beiden Räumen sicherzustellen  
"
v1;didaktik;interaktion;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;Vorbereitung von verschiedenen Interaktionselementen, Schwierigkeit vor Ort und digitale Teilnehmer:innen gleichermaßen zu berücksichtigen
v1;didaktik;*aufmerksamkeitLehrperson;;;Nicht-Hybrid-Lehrende;Organisation;Belastung Lehrperson;Multitasking;;Vorbereitung von verschiedenen Interaktionselementen, Schwierigkeit vor Ort und digitale Teilnehmer:innen gleichermaßen zu berücksichtigen
v1;didaktik;engagement;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;"nicht sicher, wie alle gleich einbezogen werden können  
"
v1;didaktik;interaktion;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;"Gruppenarbeiten umständlicher zu organisieren, Gruppen durch Trennung in Präsenz und  Hybrid auch weniger flexibel  
"
v1;didaktik;engagement;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;"Engagement der Stud.s  
"
v1;didaktik;interaktion;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;(entscheidend): erheblich zu geringer Lernerfolg, Diskussionen funktionieren nicht, Kommunikation und gemeinsames Arbeiten an Materialien bedarf ganzheitlicher Präsenz (K. mit schwarzen Kacheln bzw. reinen Kopfbildern funktioniert nicht), Gruppenerfahrungen (auch auf nicht-kognitiven Ebenen) sind nur in Präsenz möglich
v1;didaktik;humanising;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Soziales;Soziale Präsenz;;"Diskussionen funktionieren nicht,  Kommunikation und gemeinsames Arbeiten an Materialien bedarf ganzheitlicher Präsenz (K.  mit schwarzen Kacheln bzw. reinen Kopfbildern funktioniert nicht), Gruppenerfahrungen  (auch auf nicht-kognitiven Ebenen) sind nur in Präsenz möglich  
"
v1;didaktik;engagement;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;"Erfahrung, das Remote zugeschaltete Studenten nicht aktiv zuhören und mitarbeiten. Aktive  Mitarbeit ist bereits bei reinen Präsenzkursen eingeschränkt. Bei Remote zugeschalteten  Studenten ist zu erwarten, dass der Dozent einen Monolog hält.  
"
v1;didaktik;interaktion;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;"Erfahrung, das Remote zugeschaltete Studenten nicht aktiv zuhören und mitarbeiten. Aktive  Mitarbeit ist bereits bei reinen Präsenzkursen eingeschränkt. Bei Remote zugeschalteten  Studenten ist zu erwarten, dass der Dozent einen Monolog hält.  
"
v1;didaktik;engagement;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;"Aktivierung und Einbindung der Präsenzstudierenden  
"
v1;didaktik;engagement;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;Ich bevorzuge Praesenz fuer hoeheres und direkteres Engagement der Studierenden. Anhand meiner guten Unterlagen und Verfuegbarkeit fuer Studierende ist auch Selbststudium recht gut moeglich.
v1;didaktik;humanising;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Soziales;Soziale Präsenz;;Ich bevorzuge Praesenz fuer hoeheres und direkteres Engagement der Studierenden. Anhand meiner guten Unterlagen und Verfuegbarkeit fuer Studierende ist auch Selbststudium recht gut moeglich.
v1;didaktik;interaktion;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;"keinerlei Interaktion mit den Studenten die remote teilgenommen haben  
"
v1;didaktik;interaktion;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;Unterrichtsathmosphäre, Interaktionsmöglichkeiten, verteilte Aufmerksamkeit, Aktivierung der Teilnehmenden, Umsetzung von Gruppenarbeiten, Kleindiskussionen
v1;didaktik;humanising;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Soziales;Soziale Präsenz;;Unterrichtsathmosphäre, Interaktionsmöglichkeiten, verteilte Aufmerksamkeit, Aktivierung der Teilnehmenden, Umsetzung von Gruppenarbeiten, Kleindiskussionen
v1;didaktik;*aufmerksamkeitLehrperson;;;Nicht-Hybrid-Lehrende;Organisation;Belastung Lehrperson;Multitasking;;Unterrichtsathmosphäre, Interaktionsmöglichkeiten, verteilte Aufmerksamkeit, Aktivierung der Teilnehmenden, Umsetzung von Gruppenarbeiten, Kleindiskussionen
v1;didaktik;engagement;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;"nach meiner Erfahrung ist die Aufmerksamkeit in diesem Format zu asymetrisch verteilt  
"
v1;didaktik;*anwesenheit;;;Nicht-Hybrid-Lehrende;Organisation;Anwesenheit;Sinkende Anwesenheit;;"keine; ggf. noch stärkeres Nachlassen der Präsenz von Studierenden im Verlauf des Semesters"
v1;didaktik;*aufmerksamkeitLehrperson;;;Nicht-Hybrid-Lehrende;Organisation;Belastung Lehrperson;Multitasking;;"Konzentration scheint mir schwieriger zu erreichen  
"
v1;didaktik;engagement;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;Einbindung in die Seminargruppe, Verständlichkeit bei der Übermittlung von Lehrinhalten
v1;didaktik;engagement;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;"Problem with engagement with online and offline people; Split of attention (e.g. who has questions)"
v1;didaktik;*aufmerksamkeitLehrperson;;;Nicht-Hybrid-Lehrende;Organisation;Belastung Lehrperson;Multitasking;;"Problem with engagement with online and offline people; Split of attention (e.g. who has questions)"
v1;didaktik;*anwesenheit;;;Nicht-Hybrid-Lehrende;Organisation;Anwesenheit;Sinkende Anwesenheit;;"Sobald ""hybrid"" angeboten wird, kommt keiner mehr an die Uni; dann ist eine rein digitale Veranstaltung sinnvoller; in hybriden Formaten ist es schwierig allen Beteiligten gleichermaßen gerecht zu werden"
v1;didaktik;engagement;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;"Gruppen vermischen sich oft nicht, Engagement in synchronen Online-Terminen oft nicht  besonders hoch  
"
v1;didaktik;interaktion;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;"Gruppen vermischen sich oft nicht, Engagement in synchronen Online-Terminen oft nicht  besonders hoch  
"
v1;didaktik;interaktion;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;Gibt Anreiz, nicht zur Vorlesung zu kommen. Keine Interaktion mehr möglich.
v1;didaktik;*anwesenheit;;;Nicht-Hybrid-Lehrende;Organisation;Anwesenheit;Sinkende Anwesenheit;;Gibt Anreiz, nicht zur Vorlesung zu kommen. Keine Interaktion mehr möglich.
v1;didaktik;engagement;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;"Studierende sind bei online unterricht kaum mehr aktiv  
"
v1;didaktik;engagement;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;Keine Vernünftige Interaktion mit Studenten, die können sich jederzeit still stellen, ohne das es gesehen wird. Studenten aus reiner on-Line Coronazeit sind praktisch sehr benachteiligt bzw. es fehlt an dem Erwerb von Kommunikationsfähigkeit.
v1;didaktik;interaktion;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;Keine Vernünftige Interaktion mit Studenten, die können sich jederzeit still stellen, ohne das es gesehen wird. Studenten aus reiner on-Line Coronazeit sind praktisch sehr benachteiligt bzw. es fehlt an dem Erwerb von Kommunikationsfähigkeit.
v1;didaktik;interaktion;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;Sobald ich synchrone hybride Angebote mache, erwarte ich eine drastische Abnahme der Präsenzteilnahme der Studierenden. Die persönliche Interaktion mit direktem Feedback (nicht nur zweidimensional oder gar mit schwarzen Rechtecken) ist aus meiner Sicht digital kaum zu ersetzen. Wenn ich also ein hybrides Angebot mache, gebe ich diese persöniche Interaktion mit einem guten Teil der Studierenden auf.
v1;didaktik;humanising;;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Soziales;Soziale Präsenz;;Sobald ich synchrone hybride Angebote mache, erwarte ich eine drastische Abnahme der Präsenzteilnahme der Studierenden. Die persönliche Interaktion mit direktem Feedback (nicht nur zweidimensional oder gar mit schwarzen Rechtecken) ist aus meiner Sicht digital kaum zu ersetzen. Wenn ich also ein hybrides Angebot mache, gebe ich diese persöniche Interaktion mit einem guten Teil der Studierenden auf.
v1;didaktik;*anwesenheit;;;Nicht-Hybrid-Lehrende;Organisation;Anwesenheit;Sinkende Anwesenheit;;Sobald ich synchrone hybride Angebote mache, erwarte ich eine drastische Abnahme der Präsenzteilnahme der Studierenden. Die persönliche Interaktion mit direktem Feedback (nicht nur zweidimensional oder gar mit schwarzen Rechtecken) ist aus meiner Sicht digital kaum zu ersetzen. Wenn ich also ein hybrides Angebot mache, gebe ich diese persöniche Interaktion mit einem guten Teil der Studierenden auf.
