graphID;graphName;cat1;cat2;cat3;cat4;count;percent
did_hybrid-lehrende;Hybrid-Lehrende: Didaktische Herausforderungen;Interaktion & Kommunikation;;;;19;
did_hybrid-lehrende;Hybrid-Lehrende: Didaktische Herausforderungen;Planung;neue Methoden;;;8;
did_hybrid-lehrende;Hybrid-Lehrende: Didaktische Herausforderungen;Planung;Inhalte abdecken;;;2;
did_hybrid-lehrende;Hybrid-Lehrende: Didaktische Herausforderungen;Qualität der Lehre;Sorge um Qualitätsverlulst;;;1;
did_hybrid-lehrende;Hybrid-Lehrende: Didaktische Herausforderungen;Qualität der Lehre;Gleichbehandlung der Gruppen;;;4;
did_hybrid-lehrende;Hybrid-Lehrende: Didaktische Herausforderungen;Sonstiges;Unklar;;;3;
did_hybrid-lehrende;Hybrid-Lehrende: Didaktische Herausforderungen;Soziales;Soziale Präsenz;;;1;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Ausstattung;Allgemein;;;7;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Ausstattung;Ungeeignet;;;6;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Ausstattung;Fehlt;;;12;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Remote-Technik;Internet;;;2;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Remote-Technik;Räume für Online-TN;;;1;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Remote-Technik;Sonstiges;;;2;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Sonstiges;Unklar;;;5;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Sonstiges;Allgemein;;;1;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Störungen & Qualität;Allgemein;;;2;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Störungen & Qualität;Internet;Internet @Uni;;6;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Störungen & Qualität;Internet;Internet allgemein;;2;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Störungen & Qualität;Audio;;;10;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Störungen & Qualität;Video;;;1;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Usability;Allgemein;;;11;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Usability;Abläufe;;;6;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Usability;Inhalte teilen;;;0;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Usability;Auf- und Abbau;;;7;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Usability;Kompetenz;;;3;
tech_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Technische Herausforderungen;Usability;Software;;;1;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Ausstattung;Allgemein;;;7;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Ausstattung;Ungeeignet;;;9;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Ausstattung;Fehlt;;;4;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Remote-Technik;Internet zu Hause;;;5;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Remote-Technik;Räume für Online-TN;;;2;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Remote-Technik;Sonstiges;;;2;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Sonstiges;Unklar;;;3;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Störungen & Qualität;Allgemein;;;1;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Störungen & Qualität;Internet;Internet @Uni;;6;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Störungen & Qualität;Internet;Internet allgemein;;6;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Störungen & Qualität;Audio;;;16;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Störungen & Qualität;Video;;;8;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Usability;Allgemein;;;11;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Usability;Abläufe;;;6;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Usability;Inhalte teilen;;;6;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Usability;Auf- und Abbau;;;5;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Usability;Kompetenz;;;0;
tech_hybrid-lehrende;Hybrid-Lehrende: Technische Herausforderungen;Usability;Software;;;3;
org_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Organisatorische Herausforderungen;Anwesenheit;Sinkende Anwesenheit;;;10;
org_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Organisatorische Herausforderungen;Anwesenheit;Planung Gruppengrößen;;;1;
org_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Organisatorische Herausforderungen;Belastung Lehrperson;kein Tech-Support;;;2;
org_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Organisatorische Herausforderungen;Belastung Lehrperson;Multitasking;;;17;
org_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Organisatorische Herausforderungen;Belastung Lehrperson;Zusatzaufwand;;;8;
org_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Organisatorische Herausforderungen;Durchführung;Abläufe & Moderation;;;2;
org_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Organisatorische Herausforderungen;Sonstiges;Rechtliches;;;4;
org_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Organisatorische Herausforderungen;Sonstiges;unerwünschtes Format;;;2;
org_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Organisatorische Herausforderungen;Sonstiges;Unklar;;;3;
org_hybrid-lehrende;Hybrid-Lehrende: Organisatorische Herausforderungen;Anwesenheit;Sinkende Anwesenheit;;;0;
org_hybrid-lehrende;Hybrid-Lehrende: Organisatorische Herausforderungen;Anwesenheit;Planung Gruppengrößen;;;3;
org_hybrid-lehrende;Hybrid-Lehrende: Organisatorische Herausforderungen;Belastung Lehrperson;kein Tech-Support;;;3;
org_hybrid-lehrende;Hybrid-Lehrende: Organisatorische Herausforderungen;Belastung Lehrperson;Multitasking;;;27;
org_hybrid-lehrende;Hybrid-Lehrende: Organisatorische Herausforderungen;Belastung Lehrperson;Zusatzaufwand;;;7;
org_hybrid-lehrende;Hybrid-Lehrende: Organisatorische Herausforderungen;Durchführung;Abläufe & Moderation;;;7;
org_hybrid-lehrende;Hybrid-Lehrende: Organisatorische Herausforderungen;Sonstiges;Unklar;;;2;
supergraph;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;24;10,7
supergraph;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;9;4
supergraph;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;Inhalte abdecken;;5;2,2
supergraph;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;25;11,2
supergraph;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Sorge um Qualitätsverlulst;;5;2,2
supergraph;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Gleichbehandlung der Gruppen;;4;1,8
supergraph;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;niedriger Lernerfolg;;4;1,8
supergraph;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Selbstreguliertes Lernen;;2;0,9
supergraph;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Soziales;Soziale Präsenz;;9;4
supergraph;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Soziales;Sozialisation;;3;1,3
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Ausstattung;Allgemein;;7;3,1
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Ausstattung;Ungeeignet;;6;2,7
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Ausstattung;Fehlt;;12;5,4
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Remote-Technik;Internet;;2;0,9
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Remote-Technik;Räume für Online-TN;;1;0,4
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Remote-Technik;Sonstiges;;2;0,9
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Störungen & Qualität;Allgemein;;2;0,9
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Störungen & Qualität;Internet;Internet @Uni;6;2,7
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Störungen & Qualität;Internet;Internet allgemein;2;0,9
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Störungen & Qualität;Audio;;10;4,5
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Störungen & Qualität;Video;;1;0,4
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Usability;Allgemein;;11;4,9
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Usability;Abläufe;;6;2,7
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Usability;Inhalte teilen;;0;0
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Usability;Auf- und Abbau;;7;3,1
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Usability;Kompetenz;;3;1,3
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Usability;Software;;1;0,4
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Sonstiges;Unklar;;5;2,2
supergraph;Nicht-Hybrid-Lehrende;Technik & ihre Nutzung;Sonstiges;Allgemein;;1;0,4
supergraph;Nicht-Hybrid-Lehrende;Organisation;Anwesenheit;Sinkende Anwesenheit;;10;4,5
supergraph;Nicht-Hybrid-Lehrende;Organisation;Anwesenheit;Planung Gruppengrößen;;1;0,4
supergraph;Nicht-Hybrid-Lehrende;Organisation;Belastung Lehrperson;kein Tech-Support;;2;0,9
supergraph;Nicht-Hybrid-Lehrende;Organisation;Belastung Lehrperson;Multitasking;;17;7,6
supergraph;Nicht-Hybrid-Lehrende;Organisation;Belastung Lehrperson;Zusatzaufwand;;8;3,6
supergraph;Nicht-Hybrid-Lehrende;Organisation;Durchführung;Abläufe & Moderation;;2;0,9
supergraph;Nicht-Hybrid-Lehrende;Organisation;Sonstiges;Rechtliches;;4;1,8
supergraph;Nicht-Hybrid-Lehrende;Organisation;Sonstiges;unerwünschtes Format;;2;0,9
supergraph;Nicht-Hybrid-Lehrende;Organisation;Sonstiges;Unklar;;3;1,3
supergraph;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;18;8,8
supergraph;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;neue Methoden;;8;3,9
supergraph;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Planung;Inhalte abdecken;;2;1
supergraph;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;19;9,3
supergraph;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Sorge um Qualitätsverlulst;;1;0,5
supergraph;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Gleichbehandlung der Gruppen;;4;2
supergraph;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Sonstiges;Unklar;;3;1,5
supergraph;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Soziales;Soziale Präsenz;;1;0,5
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Ausstattung;Allgemein;;7;3,4
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Ausstattung;Ungeeignet;;9;4,4
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Ausstattung;Fehlt;;4;2
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Remote-Technik;Internet zu Hause;;5;2,4
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Remote-Technik;Räume für Online-TN;;2;1
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Remote-Technik;Sonstiges;;2;1
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Störungen & Qualität;Allgemein;;1;0,5
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Störungen & Qualität;Internet;Internet @Uni;6;2,9
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Störungen & Qualität;Internet;Internet allgemein;6;2,9
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Störungen & Qualität;Audio;;16;7,8
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Störungen & Qualität;Video;;8;3,9
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Usability;Allgemein;;11;5,4
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Usability;Abläufe;;6;2,9
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Usability;Inhalte teilen;;6;2,9
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Usability;Auf- und Abbau;;5;2,4
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Usability;Kompetenz;;0;0
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Usability;Software;;3;1,5
supergraph;Hybrid-Lehrende;Technik & ihre Nutzung;Sonstiges;Unklar;;3;1,5
supergraph;Hybrid-Lehrende;Organisation;Anwesenheit;Sinkende Anwesenheit;;0;0
supergraph;Hybrid-Lehrende;Organisation;Anwesenheit;Planung Gruppengrößen;;3;1,5
supergraph;Hybrid-Lehrende;Organisation;Belastung Lehrperson;kein Tech-Support;;3;1,5
supergraph;Hybrid-Lehrende;Organisation;Belastung Lehrperson;Multitasking;;27;13,2
supergraph;Hybrid-Lehrende;Organisation;Belastung Lehrperson;Zusatzaufwand;;7;3,4
supergraph;Hybrid-Lehrende;Organisation;Durchführung;Abläufe & Moderation;;7;3,4
supergraph;Hybrid-Lehrende;Organisation;Sonstiges;Unklar;;2;1
