globalId;questionCode;answerCode;answerSummary;effectId;groupLabel;effectAction;reasoning_DE;relevantVariable1;includedRange1;excludedRange1;relevantVariable2;includedRange2;excludedRange2;scoreChange;condition;answer1;answer2;formulierung1
13;LZsy;1;Synchrone Interaktion verbessert die Lernerfahrung erheblich, ist aber nicht zwingend erforderlich.;2;rein-asynchrones Format;nicht geeignet;wichtige Lernziele können laut der Angaben der Lehrperson nie asynchron erreicht werden;3;4;-;-;-;-;-4;true;;Sie haben angegeben, dass synchrone Interaktion die Lernerfahrung erheblich verbessert, aber nicht zwingend erforderlich ist.;Laut Ihren Angaben ist Szenario XYZ als rein-asynchrones Format, nicht geeignet, weil wichtige Lernziele können laut der Angaben der Lehrperson nie asynchron erreicht werden.
14;LZsy;1;Synchrone Interaktion verbessert die Lernerfahrung erheblich, ist aber nicht zwingend erforderlich.;3;Format mit asynchroner Teilnahmealternative;nicht empfohlen;manche Studierende könnten prinzipiell nie synchron teilnehmen und dabei wichtige synchrone Lernziele verpassen;3;3;-;-;-;-;-2;true;;Sie haben angegeben, dass synchrone Interaktion die Lernerfahrung erheblich verbessert, aber nicht zwingend erforderlich ist.;Laut Ihren Angaben passt Szenario XYZ als Format mit asynchroner Teilnahmealternative, nicht optimal, weil manche Studierende könnten prinzipiell nie synchron teilnehmen und dabei wichtige synchrone Lernziele verpassen.
15;LZsy;2;Synchrone Interaktion ist essenziell, da manche Lernziele ohne sie nicht erreichbar sind.;0;Veranstaltung, die prinzipiell völlig asynchron besucht werden könnte;ausgeschlossen;manche Studierende könnten prinzipiell nie synchron teilnehmen und dabei essentielle synchrone Lernziele verpassen;3;3, 4;-;-;-;-;-100;true;;Sie haben angegeben, dass synchrone Interaktion essenziell ist, da manche Lernziele ohne sie nicht erreichbar sind.;Laut Ihren Angaben passt Szenario XYZ als Veranstaltung, die prinzipiell völlig asynchron besucht werden könnte, nicht optimal, weil manche Studierende könnten prinzipiell nie synchron teilnehmen und dabei essentielle synchrone Lernziele verpassen.
16;LZsy;2;Synchrone Interaktion ist essenziell, da manche Lernziele ohne sie nicht erreichbar sind.;1;klein bis mittleres Maß an synchroner Interaktion;ausgeschlossen;Viel synchrone Interaktion wird im Kurs benötigt.;2;0, 1;-;-;-;-;-100;true;;Sie haben angegeben, dass synchrone Interaktion essenziell ist, da manche Lernziele ohne sie nicht erreichbar sind.;Laut Ihren Angaben passt Szenario XYZ als klein bis mittleres Maß an synchroner Interaktion, nicht optimal, weil Viel synchrone Interaktion wird im Kurs benötigt.
17;LZsy;2;Synchrone Interaktion ist essenziell, da manche Lernziele ohne sie nicht erreichbar sind.;2;hohes Maß an synchroner Interaktion;empfohlen;Synchrone Interaktion ist essentiell für manche Lernziele;2;2;-;-;-;-;1;true;;Sie haben angegeben, dass synchrone Interaktion essenziell ist, da manche Lernziele ohne sie nicht erreichbar sind.;Laut Ihren Angaben passt Szenario XYZ als hohes Maß an synchroner Interaktion, nicht optimal, weil Synchrone Interaktion ist essentiell für manche Lernziele.
18;niePr;nein;noEffect;noEffect;-;-;-;-;-;-;-;-;-;-;-;;Sie haben angegeben, dass alle Studierenden in Präsenz teilnehmen können.;noEffect
19;niePr;ja;Es gibt Studierende, die nicht in Präsenz teilnehmen können, oder Sie möchten für diesen Fall vorbereitet sein.;0;Format mit exklusiv-vor-Ort Teilnahme ohne asynchrone Teilnahmemöglichkeit;ausgeschlossen;Studierende, die nie vor Ort den Kurs besuchen können, sind extrem benachteiligt, wenn Kernkomponente des Kurses nur in Präsenz stattfinden.;1;praes, ringpraes, rem, reinhyb1, grwechs, praesonlwechs, praeshybwechs, onlpraeswechs, hybpraeswechs;-;3;-;3;-100;true;;Sie haben angegeben, dass es Studierende gibt, die nicht in Präsenz teilnehmen können, oder dass Sie für diesen Fall vorbereitet sein möchten.;Laut Ihren Angaben passt Szenario XYZ als Format mit exklusiv-vor-Ort Teilnahme ohne asynchrone Teilnahmemöglichkeit, nicht optimal, weil Studierende, die nie vor Ort den Kurs besuchen können, sind extrem benachteiligt, wenn Kernkomponente des Kurses nur in Präsenz stattfinden..
20;niePr;ja;Es gibt Studierende, die nicht in Präsenz teilnehmen können, oder Sie möchten für diesen Fall vorbereitet sein.;1;Format mit exklusiv-vor-Ort Teilnahme mit asynchroner Teilnahmemöglichkeit;nicht empfohlen;Studierende, die nie vor Ort den Kurs besuchen können, sind extrem benachteiligt, wenn Kernkomponente des Kurses nur in Präsenz stattfinden. Eine asynchrone Teilnahmemöglichkeit mildert diesen negativen Effekt, aber nicht ganz.;1;praes, ringpraes, rem, reinhyb1, grwechs, praesonlwechs, praeshybwechs, onlpraeswechs, hybpraeswechs;-;3;-;3;-2;true;;Sie haben angegeben, dass es Studierende gibt, die nicht in Präsenz teilnehmen können, oder dass Sie für diesen Fall vorbereitet sein möchten.;Laut Ihren Angaben passt Szenario XYZ als Format mit exklusiv-vor-Ort Teilnahme mit asynchroner Teilnahmemöglichkeit, nicht optimal, weil Studierende, die nie vor Ort den Kurs besuchen können, sind extrem benachteiligt, wenn Kernkomponente des Kurses nur in Präsenz stattfinden. Eine asynchrone Teilnahmemöglichkeit mildert diesen negativen Effekt, aber nicht ganz..
21;nieSync;nein;noEffect;noEffect;-;-;-;-;-;-;-;-;-;-;-;;Sie haben angegeben, dass alle Studierenden synchron teilnehmen können.;noEffect
22;nieSync;ja;Es gibt Studierende, die nicht synchron teilnehmen können, oder Sie möchten für diesen Fall vorbereitet sein.;0;exklusiv synchrones Format;ausgeschlossen;Studierende, die wegen Einschränkungen die Kurssitzungen nicht synchron besuchen können, werden fast alle Komponente des Kurses verpassen.;3;0;-;-;-;-;-100;true;;Sie haben angegeben, dass es Studierende gibt, die nicht synchron teilnehmen können, oder dass Sie für diesen Fall vorbereitet sein möchten.;Laut Ihren Angaben passt Szenario XYZ als exklusiv synchrones Format, nicht optimal, weil Studierende, die wegen Einschränkungen die Kurssitzungen nicht synchron besuchen können, werden fast alle Komponente des Kurses verpassen..
23;nieSync;ja;Es gibt Studierende, die nicht synchron teilnehmen können, oder Sie möchten für diesen Fall vorbereitet sein.;1;Format mit ergänzender Nacharbeit, die aber die synchrone Teilnahme nicht ersetzen könnte;nicht empfohlen;Studierende, die wegen Einschränkungen die Kurssitzungen nicht synchron besuchen können, werden viele Inhalte des Kurses verpassen.;3;1;-;-;-;-;-2;true;;Sie haben angegeben, dass es Studierende gibt, die nicht synchron teilnehmen können, oder dass Sie für diesen Fall vorbereitet sein möchten.;Laut Ihren Angaben passt Szenario XYZ als Format mit ergänzender Nacharbeit, die aber die synchrone Teilnahme nicht ersetzen könnte, nicht optimal, weil Studierende, die wegen Einschränkungen die Kurssitzungen nicht synchron besuchen können, werden viele Inhalte des Kurses verpassen..
24;nieSync;ja;Es gibt Studierende, die nicht synchron teilnehmen können, oder Sie möchten für diesen Fall vorbereitet sein.;2;Format mit ergänzender Vor- und Nacharbeit, die aber die synchrone Teilnahme nicht ersetzen könnten;nicht ideal;Studierende, die wegen Einschränkungen die Kurssitzungen nicht synchron besuchen können, werden einige Inhalte des Kurses verpassen.;3;2;-;-;-;-;-1;true;;Sie haben angegeben, dass es Studierende gibt, die nicht synchron teilnehmen können, oder dass Sie für diesen Fall vorbereitet sein möchten.;Laut Ihren Angaben passt Szenario XYZ als Format mit ergänzender Vor- und Nacharbeit, die aber die synchrone Teilnahme nicht ersetzen könnten, nicht optimal, weil Studierende, die wegen Einschränkungen die Kurssitzungen nicht synchron besuchen können, werden einige Inhalte des Kurses verpassen..
25;nieSync;ja;Es gibt Studierende, die nicht synchron teilnehmen können, oder Sie möchten für diesen Fall vorbereitet sein.;3;Veranstaltung, die prinzipiell völlig asynchron besucht werden könnte;empfohlen;Studierende, die wegen Einschränkungen die Kurssitzungen nicht synchron besuchen können, können trotzdem alle wichtigen Lernziele des Kurses erreichen;3;3, 4;-;-;-;-;1;LZsy!=2;;Sie haben angegeben, dass es Studierende gibt, die nicht synchron teilnehmen können, oder dass Sie für diesen Fall vorbereitet sein möchten.;Laut Ihren Angaben passt Szenario XYZ als Veranstaltung, die prinzipiell völlig asynchron besucht werden könnte, nicht optimal, weil Studierende, die wegen Einschränkungen die Kurssitzungen nicht synchron besuchen können, können trotzdem alle wichtigen Lernziele des Kurses erreichen.
26;regAbw;nein;noEffect;noEffect;-;-;-;-;-;-;-;-;-;-;-;;Sie haben angegeben, dass Sie (als Lehrperson) während des Semesters immer anwesend sein werden.;noEffect
27;regAbw;abundzu;Sie werden gelegentlich abwesend sein (z. B. Konferenzen).;0;Hybrides Format;sehr empfohlen;hybride Formate mit einer existierenden online Infrastruktur können sehr einfach für einzelne Sitzungen so stattfinden, dass die Lehrperson sich von einem anderen Ort zuschaltet ;1;praeshybwechs, hyb, ringhyb1, ringhyb2, hybrem, hybpraeswechs;-;-;-;-;2;true;;Sie haben angegeben, dass Sie gelegentlich abwesend sein werden (z. B. Konferenzen).;Sie haben angegeben, dass Sie als Lehrperson gelegentlich abwesend sein werden (z.B. Konferenzreisen). Dafür wird Szenario XYZ als Hybrides Format sehr empfohlen, denn hybride Formate mit einer existierenden online Infrastruktur können sehr einfach für einzelne Sitzungen so stattfinden, dass die Lehrperson sich von einem anderen Ort zuschaltet.
28;regAbw;abundzu;Sie werden gelegentlich abwesend sein (z. B. Konferenzen).;1;Präsenzformat mit Wechsel zum Online-Unterricht;sehr empfohlen;an Tagen, wenn die Lehrperson nicht im Campus ist, können Sitzungen ohne Unterbechung online oder hybrid stattfinden.;1;praesonlwechs;-;-;-;-;2;true;;Sie haben angegeben, dass Sie gelegentlich abwesend sein werden (z. B. Konferenzen).;Sie haben angegeben, dass Sie als Lehrperson gelegentlich abwesend sein werden (z.B. Konferenzreisen). Dafür wird Szenario XYZ als Präsenzformat mit Wechsel zum Online-Unterricht sehr empfohlen, denn wenn Sie abwesend sind, können Sitzungen ohne Unterbechung online oder hybrid stattfinden.
29;regAbw;abundzu;Sie werden gelegentlich abwesend sein (z. B. Konferenzen).;2;Format ohne vorgesehene Teilnahme von Einzelpersonen;nicht ideal;ohne eine geplante online Infrastruktur für den Kurs müssen Sitzungen ausfallen, wenn die Lehrperson nicht vor Ort ist. Das kann dazu führen, dass im Kurs insgesamt weniger Inhalte abgedeckt werden;1;praes, ringpraes, rem, grwechs;-;-;-;-;-1;true;;Sie haben angegeben, dass Sie gelegentlich abwesend sein werden (z. B. Konferenzen).;Als Lehrformat ohne vorgesehene Online-Teilnahme von Einzelpersonen passt Szenario XYZ nicht optimal dazu, weil Sitzungen ausfallen müssten, wenn die Lehrperson nicht vor Ort ist. Das kann dazu führen, dass im Kurs insgesamt weniger Inhalte abgedeckt werden.
30;regAbw;oft;Sie werden häufig abwesend sein (z. B. Sabbatjahr).;0;völlig oder hauptsächlich online Forma;sehr empfohlen;Studierende können die Vorteile des synchronen Unterrichts auch dann nutzen, wenn die Lehrperson sich während des Semesters vorübergehend an einem anderen Ort befindet;1;onl, ringonl, onlpraeswechs, onlhybwechs;-;-;-;-;2;true;;Sie haben angegeben, dass Sie häufig abwesend sein werden (z. B. Sabbatjahr).;Laut Ihren Angaben passt Szenario XYZ als völlig oder hauptsächlich online Forma, nicht optimal, weil Studierende können die Vorteile des synchronen Unterrichts auch dann nutzen, wenn die Lehrperson sich während des Semesters vorübergehend an einem anderen Ort befindet.
31;regAbw;oft;Sie werden häufig abwesend sein (z. B. Sabbatjahr).;1;rein-asynchrone Option;sehr empfohlen;die Studierenden können auf das Kursmaterial zugreifen und ihre Studien fortsetzen, auch wenn die Lehrperson oft vom Campus abwesend ist;3;4;-;-;-;-;2;true;;Sie haben angegeben, dass Sie häufig abwesend sein werden (z. B. Sabbatjahr).;Laut Ihren Angaben passt Szenario XYZ als rein-asynchrone Option, nicht optimal, weil die Studierenden können auf das Kursmaterial zugreifen und ihre Studien fortsetzen, auch wenn die Lehrperson oft vom Campus abwesend ist.
32;begrAnz;nein;Die Anzahl der Teilnehmenden ist nicht eingeschränkt.;0;Hybrides Format mit Gruppenwechsel zwischen online und Präsenz;ausgeschlossen;es gibt keinen Grund, warum die Veranstaltung als Gruppenwechsel zwischen Online- und Präsenzteilnahme stattfinden sollte;1;grwechs;-;-;-;-;-100;true;;Sie haben angegeben, dass die Anzahl der Teilnehmenden im Lehrraum nicht eingeschränkt ist.;Laut Ihren Angaben passt Szenario XYZ als Hybrides Format mit Gruppenwechsel zwischen online und Präsenz, nicht optimal, weil es gibt keinen Grund, warum die Veranstaltung als Gruppenwechsel zwischen Online- und Präsenzteilnahme stattfinden sollte.
33;begrAnz;ja;Die Anzahl der Teilnehmenden ist durch Kapazitäten eingeschränkt.;0;Hybrides Format mit Gruppenwechsel zwischen online und Präsenz;empfohlen;bei einem Gruppenwechsel zwischen Online- und Präsenzteilnahme können alle Studierenden zu verschiedenen Zeitpunkte die Vorteile der Präsenzteilnahme nutzen, auch wenn der Lehrraum eine begrenzte Kapazität hat;1;grwechs;-;-;-;-;2;true;;Sie haben angegeben, dass die Anzahl der Teilnehmenden durch Kapazitäten des Lehrraums eingeschränkt ist.;Laut Ihren Angaben passt Szenario XYZ als Hybrides Format mit Gruppenwechsel zwischen online und Präsenz, nicht optimal, weil bei einem Gruppenwechsel zwischen Online- und Präsenzteilnahme können alle Studierenden zu verschiedenen Zeitpunkte die Vorteile der Präsenzteilnahme nutzen, auch wenn der Lehrraum eine begrenzte Kapazität hat.
34;onlBereit;kein;Sie möchten ausschließlich in Präsenz unterrichten.;0;Format bei dem die Lehrperson teilweise oder ganz online unterrichtet;ausgeschlossen;Die Lehrperson möchte ausschließlich in Präsenz unterrichten;1;async, onl, ringonl, onhybwechs, onlpraeswechs, praesonlwechs;-;-;-;-;-100;true;;Sie haben angegeben, dass Sie ausschließlich in Präsenz unterrichten möchten.;Laut Ihren Angaben passt Szenario XYZ als Format bei dem die Lehrperson teilweise oder ganz online unterrichtet, nicht optimal, weil Die Lehrperson möchte ausschließlich in Präsenz unterrichten.
35;onlBerit;geleg;Sie sind bereit, gelegentlich online zu unterrichten, bevorzugen aber Präsenz.;0;Format bei dem die Lehrperson immer online unterrichtet;ausgeschlossen;die Lehrperson möchte nur gelegentlich von online aus zu unterrichten;1;async, onl, ringonl;-;-;-;-;-100;true;;Sie haben angegeben, dass Sie bereit sind, gelegentlich online zu unterrichten, aber Präsenz bevorzugen.;Laut Ihren Angaben passt Szenario XYZ als Format bei dem die Lehrperson immer online unterrichtet, nicht optimal, weil die Lehrperson möchte nur gelegentlich von online aus zu unterrichten.
36;onlBereit;geleg;Sie sind bereit, gelegentlich online zu unterrichten, bevorzugen aber Präsenz.;1;Format bei dem die Lehrperson öfter als nur gelegentlich online unterrichtet;nicht ideal;die Lehrperson möchte gelegentlich, aber nicht hauptsächlich, von online aus zu unterrichten;1;onlhybwechs, onlpraeswechs;-;-;-;-;-1;true;;Sie haben angegeben, dass Sie bereit sind, gelegentlich online zu unterrichten, aber Präsenz bevorzugen.;Laut Ihren Angaben passt Szenario XYZ als Format bei dem die Lehrperson öfter als nur gelegentlich online unterrichtet, nicht optimal, weil die Lehrperson möchte gelegentlich, aber nicht hauptsächlich, von online aus zu unterrichten.
37;onlBereit;viel;Sie möchten so viel wie möglich online unterrichten.;0;überwiegend online Option für die Lehrperson;sehr empfohlen;die Lehrperson und die Studierenden können sowohl von der Flexibiltät der häufigen Online-Lehre als auch von der gelegentliche persönliche Anwesenheit profitieren;1;onlhybwechs, onlpraeswechs;-;-;-;-;2;true;;Sie haben angegeben, dass Sie so viel wie möglich online unterrichten möchten.;Laut Ihren Angaben passt Szenario XYZ als überwiegend online Option für die Lehrperson, nicht optimal, weil die Lehrperson und die Studierenden können sowohl von der Flexibiltät der häufigen Online-Lehre als auch von der gelegentliche persönliche Anwesenheit profitieren.
38;onlBereit;viel;Sie möchten so viel wie möglich online unterrichten.;1;rein-online Option;stark empfohlen;wenn Lernziele sowohl in Präsenz als auch online gut erreichbar sind, dann wäre die rein-online Lehre eine gute Option, um maximale Flexibilität zu schaffen;1;onl, ringonl;-;-;-;-;3;LZiP=0;;Sie haben angegeben, dass Sie so viel wie möglich online unterrichten möchten.;Laut Ihren Angaben passt Szenario XYZ als rein-online Option, nicht optimal, weil wenn Lernziele sowohl in Präsenz als auch online gut erreichbar sind, dann wäre die rein-online Lehre eine gute Option, um maximale Flexibilität zu schaffen.
39;onlBereit;viel;Sie möchten so viel wie möglich online unterrichten.;2;rein-online Option;empfohlen;"wenn die Lehrperson viel online unterrichten möchte, bieten reine Optionen Flexibilität; wenn es aber keine verpflichtende Präsenzkomponente im Kurs gibt, könnten manche Lernziele des Kurses nicht so gut erreicht werden.";1;onl, ringonl;-;-;-;-;1;LZiP=1;;Sie haben angegeben, dass Sie so viel wie möglich online unterrichten möchten.;"Laut Ihren Angaben passt Szenario XYZ als rein-online Option, nicht optimal, weil wenn die Lehrperson viel online unterrichten möchte, bieten reine Optionen Flexibilität; wenn es aber keine verpflichtende Präsenzkomponente im Kurs gibt, könnten manche Lernziele des Kurses nicht so gut erreicht werden.."
40;onlBereit;egal;noEffect;noEffect;-;-;-;-;-;-;-;-;-;-;-;;Sie haben angegeben, dass es für Sie keine Rolle spielt, ob Sie online oder in Präsenz unterrichten.;noEffect
41;limZPSt;nein;Die meisten Studierenden haben keine eingeschränkten Zeitpläne.;0;Veranstaltung, die prinzipiell völlig asynchron besucht werden könnte;nicht so sinnvoll;Wenn alle synchron teilnehmen können und Zeit haben, dann gibt es keinen besonderen Grund für eine asynchrone Teilnahmeoption.;3;3, 4;-;-;-;-;-1;nieSync=nein;;Sie haben angegeben, dass die meisten Studierenden keine eingeschränkten Zeitpläne haben.;Laut Ihren Angaben passt Szenario XYZ als Veranstaltung, die prinzipiell völlig asynchron besucht werden könnte, nicht optimal, weil Wenn alle synchron teilnehmen können und Zeit haben, dann gibt es keinen besonderen Grund für eine asynchrone Teilnahmeoption..
42;limZPSt;nein;Die meisten Studierenden haben keine eingeschränkten Zeitpläne.;1;Format bei dem regelmäßige Vor- und Nacharbeit von den Studierenden erwartet wird;empfohlen;Solange alle Studierende genug Zeit dafür haben, wird eine strukturierte regelmäßige Vor- und Nacharbeit das Erreichen der Lernziele des Kurses weiter verstärken;3;2;-;-;-;-;1;true;;Sie haben angegeben, dass die meisten Studierenden keine eingeschränkten Zeitpläne haben.;Laut Ihren Angaben passt Szenario XYZ als Format bei dem regelmäßige Vor- und Nacharbeit von den Studierenden erwartet wird, nicht optimal, weil Solange alle Studierende genug Zeit dafür haben, wird eine strukturierte regelmäßige Vor- und Nacharbeit das Erreichen der Lernziele des Kurses weiter verstärken.
43;limZPSt;ja;Die meisten Studierenden haben eingeschränkte Zeitpläne.;0;Veranstaltung, die prinzipiell völlig asynchron besucht werden könnte;sehr empfohlen;Die Option einer asynchronen Teilnahme bietet Studierenden mit einem engen oder vollem Zeitplan mehr Flexibilität, an dem Kurs teilzunehmen ohne wichtige Inhalte zu verpassen;3;3, 4;-;-;-;-;2;true;;Sie haben angegeben, dass die meisten Studierenden eingeschränkte Zeitpläne haben.;Laut Ihren Angaben passt Szenario XYZ als Veranstaltung, die prinzipiell völlig asynchron besucht werden könnte, nicht optimal, weil Die Option einer asynchronen Teilnahme bietet Studierenden mit einem engen oder vollem Zeitplan mehr Flexibilität, an dem Kurs teilzunehmen ohne wichtige Inhalte zu verpassen.
44;limZPSt;ja;Die meisten Studierenden haben eingeschränkte Zeitpläne.;1;rein synchrones Format ohne zusätzliche Vor-oder Nacharbeit;empfohlen;obwohl sie keine Flexibilität anbieten, erlaubt diese Option den Studierenden mit einem engen Zeitplan alle wichtigen Lerninhalte innerhalb der synchronen Sitzungen abzudecken;3;0;-;-;-;-;1;true;;Sie haben angegeben, dass die meisten Studierenden eingeschränkte Zeitpläne haben.;Laut Ihren Angaben haben die meisten Studierenden eingeschränkte Zeitpläne. Dazu passt Szenario XYZ als rein synchrones Format ohne zusätzliche Vor-oder Nacharbeit gut, weil es den Studierenden mit einem engen Zeitplan erlaubt, alle wichtigen Lerninhalte innerhalb der synchronen Sitzungen abzudecken.
45;limZPSt;ja;Die meisten Studierenden haben eingeschränkte Zeitpläne.;2;Format bei dem regelmäßige Vor- und Nacharbeit von den Studierenden erwartet wird;nicht empfohlen;Studierende mit einem begrenzten Zeitplan werden wahrscheinlich Schwierigkeiten haben, regelmäßige Aufgaben in strengen Intervallen zu erledigen;3;2;-;-;-;-;-2;true;;Sie haben angegeben, dass die meisten Studierenden eingeschränkte Zeitpläne haben.;Laut Ihren Angaben passt Szenario XYZ als Format bei dem regelmäßige Vor- und Nacharbeit von den Studierenden erwartet wird, nicht optimal, weil Studierende mit einem begrenzten Zeitplan werden wahrscheinlich Schwierigkeiten haben, regelmäßige Aufgaben in strengen Intervallen zu erledigen.
46;limZPSt;ja;Die meisten Studierenden haben eingeschränkte Zeitpläne.;3;Formate bei dem Studierende oft oder prinzipiell immer synchron-online teilnehmen könnten ;empfohlen;Die Option einer online Teilnhame kann (z.B. durch die Minimierung des Pendelns) mehr Flexibilität für Studierende anbieten, die einen begrenzten Zeitplan haben;1;hyb, onl, ringonl, ringhyb2, onlhybwechs, hybrem;-;-;-;-;1;LZiP!=2;;Sie haben angegeben, dass die meisten Studierenden eingeschränkte Zeitpläne haben.;Laut Ihren Angaben passt Szenario XYZ als Formate bei dem Studierende oft oder prinzipiell immer synchron-online teilnehmen könnten, nicht optimal, weil Die Option einer online Teilnhame kann (z.B. durch die Minimierung des Pendelns) mehr Flexibilität für Studierende anbieten, die einen begrenzten Zeitplan haben.
