wert;name;text_overview;text_overviewAsyncTN;text_syncInt-0;text_syncInt-1;text_syncInt-2;text_asyncTN-0;text_asyncTN-1;text_asyncTN-2;text_asyncTN-3;text_asyncTN-4;text_asyncInt-0;text_asyncInt-1;text_asyncInt-2;text_technik;raum_syncInt-0;raum_syncInt-1;raum_syncInt-2;tips_general;tips_syncInt-0;tips_syncInt-1;tips_syncInt-2;tips_asyncTN-0;tips_asyncTN-1;tips_asyncTN-2;tips_asyncTN-3;tips_asyncTN-4;tips_asyncInt-0;tips_asyncInt-1;tips_asyncInt-2
vl-ringpraes;Präsenzvorlesung mit Einladung von Gastvortragenden;"In diesem Lehrformat wird die klassische Präsenzvorlesung durch die Einbindung von Gastvortragenden erweitert. Die Lehrperson lädt Expert:innen aus Wissenschaft, Praxis oder anderen Fachbereichen ein, die zu spezifischen Themen referieren und ihre eigenen Erfahrungen und Perspektiven in die Veranstaltung einbringen. Die Studierenden verfolgen die Vorlesung vor Ort und haben im Anschluss die Gelegenheit, Fragen zu stellen oder in Diskussionen einzutreten.
<br><br>
Ein großer Vorteil des Präsenzformats besteht in der unmittelbaren und persönlichen Interaktion zwischen Studierenden, Lehrperson und Gastvortragenden. Diskussionen und Fragerunden können organischer verlaufen und durch persönliche Dynamik geprägt sein. Zudem bietet der direkte Kontakt die Möglichkeit für Vernetzung und informellen Austausch nach der Veranstaltung. Dies ist besonders wertvoll, weil Expert:innen aus der Praxis oft auch wertvolle Einblicke in potenzielle Berufsfelder geben können.
<br><br>
Im Vergleich zu Online- oder Hybridformaten ist das Präsenzformat für die Einbindung von Gastvortragenden weniger flexibel, da Studierende und Gastvortragende zeitlich und räumlich gebunden sind. Insbesondere bei internationalen oder weit entfernt lebenden Gästen kann dies organisatorische Hürden darstellen.";-;-;-;-;-;-;-;-;-;-;-;-;Hörsaal für ca. 300 Personen;https://sketchfab.com/models/ac037cc56b3640fa94ada4c771c459f3/embed;https://sketchfab.com/models/ac037cc56b3640fa94ada4c771c459f3/embed;https://sketchfab.com/models/ac037cc56b3640fa94ada4c771c459f3/embed;toolsDatenschutz, wartezeitPr, darstellungsformen, gaesteLGPr, materialGaeste;diskGaesteBasic, audienceResponsePr;moderationGaestePrOnl, audienceResponsePr;moderationGaestePrOnl;-;- ;- ;woechCheckin;-;-;-;reflexionHyb
vl-ringonl;Online-Vorlesung mit Einladung von Gastvortragenden;"In diesem Lehrformat findet die Vorlesung synchron in einem virtuellen Raum über eine Videokonferenz-Plattform (z. B. Zoom, Microsoft Teams oder Webex) statt. Zusätzlich zur Lehrperson präsentieren eingeladene Gastvortragende spezifische Inhalte oder teilen ihre Expertise zu bestimmten Themen. Die Lehrperson kann auch Vorlesungen halten und ist i.d.R. dafür verantwortlich, die Reihenfolge und den Inhalt der Gastvorträge so zu organisieren, dass sie in das Gesamtkonzept der Vorlesung passen und den Lernprozess unterstützen. Die Studierenden nehmen online teil und haben während oder nach dem Vortrag die Möglichkeit, Fragen zu stellen oder in Diskussionen einzutreten – meist über die Chat-Funktion oder direkt per Wortmeldung.  
<br><br>
Das Online-Format der Vorlesung bietet maximale Flexibilität für alle Beteiligten. Gastvortragende können unabhängig von ihrem Standort zugeschaltet werden, was die Einbindung internationaler Expert:innen oder vielbeschäftigter Fachleute erleichtert. Studierende profitieren von einer größeren Vielfalt an Perspektiven, die oft über das reguläre Lehrangebot hinausgeht. Das Format ist besonders vorteilhaft für große Gruppen, da Fragen und Diskussionen moderiert und strukturiert ablaufen können. 
<br><br>
Im Vergleich zur Präsenzveranstaltung fehlt oft die persönliche Dynamik und die Möglichkeit für Vernetzung und informellen Austausch zwischen den Gastvortragenden und den Studierenden nach der Veranstaltung. Außerdem könnten Studierende online zurückhaltender bei Fragen oder Diskussionen sein, weshalb eine gute Moderation nötig wird. Technische Hürden wie instabile Internetverbindungen oder Plattformprobleme müssen bei der Durchführung ebenfalls berücksichtigt werden. ";-;-;-;-;-;-;-;-;-;-;-;-;<<DIGITAL>>;<<DIGITAL>>;<<DIGITAL>>;<<DIGITAL>>;toolsDatenschutz, wartezeitHyb, gaesteLGOnl, -, materialGaeste, hinweiseOnl;chatiquetteOnlLv1, diskGaesteBasic, audienceResponseOnl;chatiquetteLv2, moderationGaestePrOnl, camAnAus, audienceResponseOnl, diskFutter;chatiquetteLv2, moderationGaestePrOnl, camAnAus, diskFutter;-;- ;- ;woechCheckin;-;-;asyncGaeste;asyncGaeste
vl-ringhyb1;Präsenzvorlesung mit Online-Zuschaltung von Gastvortragenden;"In diesem Lehrformat findet die Vorlesung in einem physischen Hörsaal statt, in dem die Lehrperson und alle Studierenden vor Ort anwesend sind. Gastvortragende werden eingeladen, ihr Wissen oder ihre praktischen Erfahrungen zu einem bestimmten Thema zu teilen. Sie werden online über eine Videokonferenz-Plattform zugeschaltet und präsentieren ihre Inhalte live auf einem großen Bildschirm. Gelegentlich können Gastvortragende auch vor Ort anwesend sein. Die Lehrperson moderiert die Veranstaltung und sorgt dafür, dass die Studierenden vor Ort Fragen stellen und mit den Gastvortragenden interagieren können. Technische Hilfsmittel wie Mikrofone, Kameras oder Chatfunktionen unterstützen die Kommunikation zwischen den Teilnehmenden vor Ort und den zugeschalteten Gästen. Die Lehrperson ist auch dafür verantwortlich, die Reihenfolge und den Inhalt der Gastvorträge so zu organisieren, dass sie in das Gesamtkonzept der Vorlesung passen und den Lernprozess unterstützen.
<br><br>
Dieses Format ermöglicht den Studierenden, von der direkten Atmosphäre der Vor-Ort-Vorlesung zu profitieren, während die Gastvortragenden ortsunabhängig teilnehmen können. Dadurch wird es einfacher, hochkarätige Expertinnen oder internationale Rednerinnen einzuladen, ohne dass sie physisch anreisen müssen. 
<br><br>
Eine große Herausforderung in diesem Format besteht in der technischen Umsetzung (Infrastruktur im Hörsaal, Internetverbindung, Ton- und Bildqualität usw.). Die Lehrperson muss außerdem sicherstellen, dass die online zugeschalteten Gastvortragenden gut in das Geschehen vor Ort eingebunden sind und die Fragen oder Reaktionen der Studierenden wahrnehmen können. Da die Studierenden alle persönlich an der Vorlesung teilnehmen müssen, ergibt sich auch ein Nachteil in Bezug auf die Flexibilität im Vergleich zu Formaten mit einer Online-Teilnahmeoption für die Studierenden.";-;-;-;-;-;-;-;-;-;-;-;-;Hörsaal für ca. 300 Personen, Hybrides Seting für Webkonferenz (z.B. Zoom);https://sketchfab.com/models/ac037cc56b3640fa94ada4c771c459f3/embed;https://sketchfab.com/models/ac037cc56b3640fa94ada4c771c459f3/embed;https://sketchfab.com/models/ac037cc56b3640fa94ada4c771c459f3/embed;toolsDatenschutz, privateEcke, wartezeitHyb, -, gaesteLGHyb, materialGaeste;diskGaesteBasic, audienceResponsePr;moderationGaesteHyb, audienceResponsePr;moderationGaesteHyb, gruppenarbHyb;zeitmanagementV3;zeitmanagementV2 ;zeitmanagementV1 ;zeitmanagementV1, woechCheckin;-;-;asyncGaeste;asyncGaeste
vl-ringhyb2;Synchron-hybride Vorlesung mit Online-Zuschaltung von Gastvortragenden und/oder einzelnen Studierenden;"In diesem Lehrformat findet eine Vorlesung in einem Hörsaal statt, in dem die Lehrperson und ein Teil der Studierenden vor Ort anwesend sind. Gastvortragende werden eingeladen, ihr Wissen oder ihre praktischen Erfahrungen zu einem bestimmten Thema zu teilen. Die Gastvortragenden sowie einzelne Studierende werden online über eine Videokonferenz-Plattform zugeschaltet und nehmen synchron an der Veranstaltung teil. Gelegentlich können Gastvortragende auch vor Ort anwesend sein. Die Inhalte werden live auf einem großen Bildschirm präsentiert und gleichzeitig für die online zugeschalteten Studierenden übertragen, sodass alle Studierenden die Vorlesung verfolgen können. Technische Hilfsmittel wie Mikrofone, Kameras und Chatfunktionen unterstützen die Kommunikation zwischen allen Teilnehmenden. Die Lehrperson könnte auch Vorträge halten und ist dafür verantwortlich, die Reihenfolge und den Inhalt der Gastvorträge so zu organisieren, dass sie in das Gesamtkonzept der Vorlesung passen und den Lernprozess unterstützen.
<br><br>
Dieses Format kombiniert die Vorteile der Präsenzveranstaltung mit den Möglichkeiten der hybriden Lehre. Studierende vor Ort profitieren von der direkten Lernatmosphäre im Hörsaal, während online zugeschaltete Studierende die Vorlesung flexibel von einem beliebigen Standort aus verfolgen können. Die ortsunabhängige Teilnahme der Gastvortragenden erleichtert zudem die Einbindung von beruflich stark eingebundenen Expert:innen und internationalen Redner:innen. 
<br><br>
Die größte Herausforderung besteht, neben der technischen Umsetzung, in der hybriden Moderation. Eine stabile Infrastruktur im Hörsaal ist entscheidend, um Ton- und Bildqualität sicherzustellen und die Kommunikation zwischen den vor Ort und online Teilnehmenden reibungslos zu gestalten. Außerdem kann es herausfordernd sein, die Balance zwischen der Interaktion im physischen Raum und der virtuellen Ebene zu halten, ohne eine Gruppe zu vernachlässigen.";-;-;-;-;-;-;-;-;-;-;-;-;Hörsaal für ca. 300 Personen, Hybrides Seting für Webkonferenz (z.B. Zoom);https://sketchfab.com/models/1bd709eb6c244e28ab8b2b6c9a4749d0/embed;https://sketchfab.com/models/1bd709eb6c244e28ab8b2b6c9a4749d0/embed;https://sketchfab.com/models/1bd709eb6c244e28ab8b2b6c9a4749d0/embed;toolsDatenschutz, privateEcke, wartezeitHyb, -, gaesteLGHyb, materialGaeste, hinweiseHyb, notHyFlex;chatiquetteHybLv1, moderationHybSimple, abwechselung, diskGaesteBasic, audienceResponseHyb;chatiquetteLv2, moderationHybSimple, moderationGaesteHyb, audienceResponseHyb, diskFutter;chatiquetteLv2, moderationHybGr, moderationGaesteHyb, gruppenarbHyb, diskFutter;zeitmanagementV3;zeitmanagementV2 ;zeitmanagementV1 ;zeitmanagementV1, woechCheckin;-;-;asyncGaeste;asyncGaeste
se-ringpraes;Präsenzseminar mit Einladung von Gastvortragenden;"In diesem Lehrformat findet das Seminar in einem Seminarraum statt, in dem die Lehrperson und alle Studierenden persönlich anwesend sind. Gastvortragende werden eingeladen, vor Ort an der Veranstaltung teilzunehmen und ihr Wissen oder ihre praktischen Erfahrungen zu einem bestimmten Thema zu teilen. Die Gastvortragenden können ihre Inhalte in Form eines Vortrags, einer Diskussionsrunde oder interaktiver Einheiten präsentieren. Die Lehrperson moderiert die Sitzung und sorgt i.d.R. organisatorisch dafür, dass die Reihenfolge und der Inhalt der Gastbeiträge in das Gesamtkonzept der Vorlesung passen und den Lernprozess unterstützen.
<br><br>
Ein großer Vorteil des Präsenzformats besteht in der unmittelbaren und persönlichen Interaktion zwischen Studierenden, Lehrperson und Gastvortragenden. Diskussionen und Fragerunden können im Seminar organischer verlaufen und durch persönliche Dynamik geprägt sein. Zudem bietet der direkte Kontakt die Möglichkeit für Vernetzung und informellen Austausch nach der Veranstaltung. Dies ist besonders wertvoll, weil Expert:innen aus der Praxis oft auch wertvolle Einblicke in potenzielle Berufsfelder geben können. 
<br><br>
Im Vergleich zu Online- oder Hybridformaten ist das Präsenzformat für die Einbindung von Gastvortragenden weniger flexibel, da Studierende und Gastvortragende zeitlich und räumlich gebunden sind. Insbesondere bei internationalen oder weit entfernt lebenden Gästen kann dies organisatorische Hürden darstellen, oder sogar die Einladung bestimmter Gäste verunmöglichen.";-;-;-;-;-;-;-;-;-;-;-;-;Seminarraum für 30 Personen / Raumgröße 80qm;https://sketchfab.com/models/c68768d2b0b64bafbbca67e1cf582fb3/embed;https://sketchfab.com/models/c68768d2b0b64bafbbca67e1cf582fb3/embed;https://sketchfab.com/models/c68768d2b0b64bafbbca67e1cf582fb3/embed;toolsDatenschutz, wartezeitPr, darstellungsformen, gaesteLGPr, materialGaeste;diskGaesteBasic, audienceResponsePr;moderationGaestePrOnl, audienceResponsePr;moderationGaestePrOnl;-;- ;- ;woechCheckin;-;-;-;reflexionHyb, videoIntro3
se-ringonl;Online-Seminar mit Einladung von Gastvortragenden;"In diesem Lehrformat findet das Seminar synchron online über eine Videokonferenz-Plattform statt. Die Lehrperson moderiert die Veranstaltung, während externe Gäste – beispielsweise Expert:innen aus Wissenschaft, Praxis oder anderen Bereichen – zu spezifischen Themen referieren, diskutieren oder an interaktive Übungen leiten. Studierende sind online zugeschaltet und haben die Möglichkeit, über Wortmeldungen, die Chatfunktion oder digitale Tools wie Umfragen und Whiteboards aktiv am Seminar mitzuwirken. Die Lehrperson sorgt auch i.d.R. organisatorisch dafür, dass die Reihenfolge und der Inhalt der Gastbeiträge in das Gesamtkonzept der Vorlesung passen und den Lernprozess unterstützen.
<br><br>
Dieses Format ermöglicht eine hohe Flexibilität für alle Beteiligten, solange die Online-Teilnahme für alle zugänglich ist. Externe Gäste können unabhängig von ihrem Standort teilnehmen, was die Einbindung von internationalen Expert:innen oder beruflich stark eingebundenen Personen erleichtert. Studierende profitieren von der Vielfalt der Perspektiven, die die Gäste in die Diskussionen einbringen, und können ihre Kenntnisse durch gezielte Fragen und Interaktionen erweitern. Der digitale Rahmen bietet zudem zusätzliche Möglichkeiten für interaktive und kollaborative Elemente, etwa durch Breakout-Räume oder gemeinsame Dokumente.
<br><br>
Im Vergleich zu einem Präsenzseminar fehlt oft die persönliche Dynamik und die Möglichkeit für Vernetzung und informellen Austausch zwischen den Gastvortragenden und den Studierenden nach der Veranstaltung. Außerdem könnten Studierende online zurückhaltender bei Fragen oder Diskussionen sein, weshalb eine gute Moderation erfordert wird. Technische Hürden wie instabile Internetverbindungen oder Plattformprobleme müssen ebenfalls bei der Durchführung berücksichtigt werden. ";-;-;-;-;-;-;-;-;-;-;-;-;<<DIGITAL>>;<<DIGITAL>>;<<DIGITAL>>;<<DIGITAL>>;toolsDatenschutz, wartezeitHyb, -, gaesteLGOnl, materialGaeste, hinweiseOnl;chatiquetteOnlLv1, diskGaesteBasic, audienceResponseOnl;chatiquetteLv2, moderationGaestePrOnl, camAnAus, audienceResponseOnl, diskFutter;chatiquetteLv2, moderationGaestePrOnl, camAnAus, diskFutter;-;- ;- ;woechCheckin;-;-;asyncGaeste;videoIntro3, asyncGaeste
se-ringhyb1;Präsenzseminar mit Online-Zuschaltung von Gastvortragenden;"In diesem Lehrformat findet das Seminar in einem physischen Seminarraum statt, in dem die Lehrperson und alle Studierenden persönlich anwesend sind. Externe Gäste – beispielsweise Expert:innen aus Wissenschaft, Praxis oder anderen Bereichen – werden online über eine Videokonferenz-Plattform zugeschaltet. Sie referieren, diskutieren oder leiten interaktive Übungen zu spezifischen Themen. Gelegentlich können Gastvortragende auch vor Ort anwesend sein. Die Lehrperson moderiert die Veranstaltung vor Ort und sorgt i.d.R. organisatorisch dafür, dass die Reihenfolge und der Inhalt der Gastbeiträge in das Gesamtkonzept der Vorlesung passen und den Lernprozess unterstützen.
 <br><br>
Dieses Format bietet den Studierenden die Vorteile einer persönlichen Interaktion vor Ort, kombiniert mit der Flexibilität der Online-Zuschaltung von externen Gästen. Die Einbindung von internationalen Expert:innen oder beruflich stark eingebundenen Personen wird erleichtert, da keine physische Anreise erforderlich ist. Das Präsenzformat im Seminarraum ermöglicht zudem spontane Interaktionen und eine stärkere Vernetzung innerhalb der Studierendengruppe. 
<br><br>
Eine große Herausforderung in diesem Format besteht in der technischen Umsetzung (Infrastruktur im Hörsaal, Internetverbindung, Ton- und Bildqualität usw.). Die Lehrperson muss außerdem sicherstellen, dass die online zugeschalteten Gastvortragenden gut in das Geschehen vor Ort eingebunden sind und die Fragen oder Reaktionen der Studierenden wahrnehmen können. Da die Studierenden alle persönlich an dem Seminar teilnehmen müssen, ergibt sich auch ein Nachteil in Bezug auf die Flexibilität im Vergleich zu Online- oder Hybridformaten.";-;-;-;-;-;-;-;-;-;-;-;-;Seminarraum für 30 Personen / Raumgröße 80qm, Hybrides Seting für Webkonferenz (z.B. Zoom);https://sketchfab.com/models/ebced663cb3549f7b46a2d86a1a54755/embed;https://sketchfab.com/models/ebced663cb3549f7b46a2d86a1a54755/embed;https://sketchfab.com/models/ebced663cb3549f7b46a2d86a1a54755/embed;toolsDatenschutz, privateEcke, wartezeitHyb, -, gaesteLGHyb, materialGaeste;diskGaesteBasic, audienceResponsePr;moderationGaesteHyb, audienceResponsePr, strukturKommPrOnl;moderationGaesteHyb, strukturKommPrOnl, gruppenarbHyb;zeitmanagementV3;zeitmanagementV2 ;zeitmanagementV1;zeitmanagementV1, woechCheckin;-;-;asyncGaeste;videoIntro3, asyncGaeste
se-ringhyb2;Synchron-hybrides Seminar mit Online-Zuschaltung von Gastvortragenden und/oder einzelnen Studierenden ;"In diesem Lehrformat findet das Seminar synchron in einem hybriden Setting statt: Die Lehrperson und ein Teil der Studierenden sind in einem Seminarraum vor Ort anwesend, während andere Studierende und externe Gäste – beispielsweise Expert:innen aus Wissenschaft, Praxis oder anderen Bereichen – online über eine Videokonferenz-Plattform zugeschaltet sind. Die externen Gäste können spezifische Themen präsentieren, Diskussionen moderieren oder interaktive Übungen leiten. Gelegentlich könnten Gastvortragende auch vor Ort anwesend sein. Die Lehrperson moderiert die Veranstaltung hybrid und sorgt i.d.R. organisatorisch dafür, dass die Reihenfolge und der Inhalt der Gastbeiträge in das Gesamtkonzept der Vorlesung passen und den Lernprozess unterstützen.
<br><br>
Dieses Format kombiniert die Vorteile der Präsenzveranstaltung mit den Möglichkeiten der hybriden Lehre. Studierende vor Ort profitieren von der direkten Lernatmosphäre im Hörsaal, während online zugeschaltete Studierende die Vorlesung flexibel von einem beliebigen Standort aus verfolgen können. Die ortsunabhängige Teilnahme der Gastvortragenden erleichtert zudem die Einbindung von beruflich stark eingebundenen Expert:innen und internationalen Redner:innen. 
<br><br>
Die größte Herausforderung besteht, neben der technischen Umsetzung, in der hybriden Moderation. Eine stabile Infrastruktur im Hörsaal ist entscheidend, um Ton- und Bildqualität sicherzustellen und die Kommunikation und die Zusammenarbeit zwischen den vor Ort und online Teilnehmenden reibungslos zu gestalten. Außerdem kann es herausfordernd sein, die Balance zwischen der Interaktion im physischen Raum und der virtuellen Ebene zu halten, ohne eine Gruppe zu vernachlässigen.";-;-;-;-;-;-;-;-;-;-;-;-;Seminarraum für 30 Personen / Raumgröße 80qm, Hybrides Seting für Webkonferenz (z.B. Zoom);https://sketchfab.com/models/ebced663cb3549f7b46a2d86a1a54755/embed;https://sketchfab.com/models/ebced663cb3549f7b46a2d86a1a54755/embed;https://sketchfab.com/models/f7a366a1aabb447d8b94bc181af5eb27/embed;toolsDatenschutz, privateEcke, wartezeitHyb, -, gaesteLGHyb, materialGaeste, hinweiseHyb, notHyFlex;chatiquetteHybLv1, moderationHybSimple, abwechselung, diskGaesteBasic, audienceResponseHyb;chatiquetteLv2, moderationHybSimple, moderationGaesteHyb, audienceResponseHyb, diskFutter;chatiquetteLv2, moderationHybGr, moderationGaesteHyb, gruppenarbHyb, diskFutter;zeitmanagementV3;zeitmanagementV2 ;zeitmanagementV1;zeitmanagementV1, woechCheckin;-;-;asyncGaeste;videoIntro3, asyncGaeste
pr-praes;Präsenzlabor;"In diesem Lehrformat findet eine Laborveranstaltung vor Ort in speziell ausgestatteten Räumen statt, in denen die Lehrperson und die Studierenden persönlich anwesend sind. Die Studierenden arbeiten in Einzel- oder Gruppenarbeit an Experimenten, praktischen Aufgaben oder Anwendungen, die auf die Nutzung der vor Ort verfügbaren Ausstattung angewiesen sind. Die Lehrperson steht für Anleitungen, Demonstrationen und individuelle Unterstützung zur Verfügung, während die Ergebnisse oft direkt vor Ort besprochen und analysiert werden. Die synchrone Arbeit im Labor wird i.d.R. durch asynchrone Vor- und/oder Nacharbeit ergänzt.
<br><br> 
Dieses Format bietet den Studierenden die Möglichkeit, praxisorientiert und unter realistischen Bedingungen zu lernen, wobei die physische Präsenz den direkten Austausch und die spontane Problemlösung erleichtert. Insbesondere bei Experimenten oder Aufgaben, die eine spezifische Ausrüstung erfordern, ist das Präsenzlabor unverzichtbar. Eine Herausforderung liegt in der Organisation und Koordination der Laborsitzungen, insbesondere bei begrenzten Raumkapazitäten oder einer großen Anzahl von Teilnehmenden. Außerdem können Studierende, die nicht vor Ort sein können, vom Format ausgeschlossen werden.";-;-;-;-;-;-;-;-;-;-;-;-;<<COMING SOON>>;<<COMING SOON>>;<<COMING SOON>>;<<COMING SOON>>;toolsDatenschutz, wartezeitPr, darstellungsformen;-;-;-;-;- ;- ;woechCheckin;-;-;-;reflexionHyb
pr-hyb1;Synchron-Hybrides Labor-Tandem;"<p>In diesem hybriden Laborformat führen die Vor-Ort-Teilnehmenden einen Versuch durch, während die Remote-Teilnehmenden Live-Einblick erhalten. Die Rolle der Remote-Teilnehmenden ist aktiv: die <b>vor Ort anwesende Person führt den Versuch manuell durch</b> bzw. bedient physisch die Maschine und liest Messwerte ab. Währenddessen übernimmt die <b>digital zugeschaltete Person</b> die <b>Dokumentation, Berechnung, Protokollführung, oder Theorieüberprüfung</b>. Zudem kann das Remote-Teammitglied bei Bedarf Handlungsanweisungen geben und Hypothesen einbringen.</p>
<p>Da praktische Erfahrungen ein zentraler Bestandteil von Laborveranstaltungen sind, wäre hier (im Gegensatz zu hybriden Vorlesungen oder Seminaren) eine vollständige Online-Teilnahme über das gesamte Semester hinweg kaum sinnvoll. Anwendung findet das Konzept jedoch in bestimmten Fällen, etwa bei Krankheit, Reisen oder begrenzten Platzkapazitäten im Labor — im zuletzt genannten Fall würden die Studierenden abwechselnd verschiedene Experimente vor Ort durchführen.</p>
<p>Anzumerken ist, dass sich solche Laborformate <b>je nach Institution, Fachbereich und vorhandener Infrastruktur stark unterscheiden</b> und daher keine allgemeingültigen Hinweise geliefert werden können. Die nachstehenden Ausführungen sollen als Inspiration, Orientierung und Motivation dienen, sind aber individuell an die jeweiligen Begebenheiten vor Ort anzupassen.</p>";-;-;-;-;-;-;-;-;-;-;-;-;"<<HTML>><h4>Medientechnische Umsetzung</h4>
<h5>Umsetzungsbeispiel</h5>
<p>An der <b>University of Illinois Urbana–Champaign</b> wird das System <b>„LabMate“</b> eingesetzt, um Studierenden bei kurzfristiger Abwesenheit eine digitale Teilnahme am Labor zu ermöglichen. Eine bewegliche <b>Kamera mit Tablet auf einem Rollstativ</b> wird neben der Versuchsstation platziert und erlaubt die Kommunikation zwischen einer vor Ort anwesenden und einer online zugeschalteten Person. Ziel des Systems ist nicht die vollständige Fernteilnahme an Laborveranstaltungen, sondern die synchrone Beteiligung an einzelnen Sitzungen bei <b>gelegentlicher Abwesenheit</b> wegen Krankheit, Verletzung oder Reisen.
</p>
<a href='https://link.springer.com/article/10.1007/s43683-022-00102-2' target='_blank' title='Mehr Details zum Umsetzungsbeispiel (auf Englisch)'>Mehr Details (auf Englisch)</a>
<h5>Allgemeine technische Tipps</h5>
<p>Die folgenden Umsetzungstipps beziehen sich nicht nur auf das LabMate-Beispiel, sondern auch auf allgemeine Komponenten von Labor-Tandems:</p>
<p id='fullImg' class='fullImg'><img src='images/descImg/tandemLab_de.PNG' alt='Beschriftete Skizze des LabMate-Systems. Neben einem Versuchstand steht ein Rollstativ, wo eine Versuchskamera (auf einem flexiblen Arm), ein Tablet mit Internet-Verbindung und Videokonferenz-Funktion, ein Korb für einfachen Transport, und ein Batteriepack befestigt sind. Am Versuchstand steht eine Person mit Ansteckmikro (oder Headset), die ein chemisches Experiment durchführt.'/></p>
<ul class='spacedList'>
  <li>Eine <b>stabile WLAN-Verbindung</b> ist Voraussetzung für einen reibungslosen Ablauf mit einem mobilen Setup.</li>
  <li>Die Positionierung der Versuchskamera sollte dem/der Remote-Partner:in einen <b>guten Blick in den Handgriffen und dem Arbeitsbereich ermöglichen</b>, um den Versuch mitzuverfolgen und ggf. Hinweise zu geben.</li>
  <li>Ein <b>Ansteckmikrofon</b> und ein <b>Batteriepack</b> mit langer Laufzeit gewährleisten eine stabile Ton- und Bildqualität auch über mehrere Stunden.</li>
  <li>Eine <b>zweite Kamera</b> (z. B. Laptop- oder Raumkamera) kann das Gesicht der vor-Ort-Person zeigen und die Interaktion erleichtern.</li>
  <li>Alle Geräte sind so zu platzieren, dass sie die <b>physische Arbeit im Labor nicht behindern</b> und keine Sicherheitsrisiken verursachen.</li>
  <li>Das „LabMate“-Beispiel wurde für nur ein Tandem-Team konzipiert — das Hinzufügen weiterer Rollstative kann aber eine komplett hybride Laborumgebung ermöglichen.</li>
</ul>
<h5>Weitere Beispiele</h5>
<p>Ein ähnliches, aber leicht abweichendes mobiles Setup wird von der <b>Technischen Hochschule Nürnberg</b> für Live-Demonstrationen eines Experiments durch die Lehrperson (inkl. Teilliste) <a href='https://leko.service.th-nuernberg.de/portal-digitale-lehre/anleitungen/hybride-laborpraktika-mit-mobilem-setup/' target='_blank' title='Beschreibung eines mobilen Setups von TH-Nürnberg inkl. Teilliste'>beschrieben</a>. Darüber hinaus hat die Proof-of-Concept-Plattform Telelab Möglichkeiten zur weiteren Bereicherung der Online-Teilnahme untersucht, indem Online-Studierenden die direkte Interaktion mit wissenschaftlichen Instrumenten sowie das Sammeln und Analysieren von Daten ermöglicht wird.</p>";<<COMING SOON>>;<<COMING SOON>>;<<COMING SOON>>;toolsDatenschutz, privateEcke, wartezeitHyb, darstellungsformen, notHyFlex;chatiquetteHybLv1, moderationHybSimple;chatiquetteLv2, moderationHybSimple;chatiquetteLv2, moderationHybGr, gruppenarbHyb;zeitmanagementV3;zeitmanagementV2;zeitmanagementV1;zeitmanagementV1, woechCheckin;-;-;-;-
pr-hyb2;"Synchron-Hybrides Labor mit ""Digitalen Zwillingen""";"""<p>Beim Digitalen Zwilling handelt es sich um ein <b>virtuelles Abbild</b> eines realen Laborsystems oder -experiments, das auf mathematischen Modellen, Sensordaten und Simulationstechnologien basiert und oft <b>mit Teilen des realen Systems interagiert</b>. Prozesse, Abläufe und Experimente können so in einer digitalen Umgebung nachgebildet, analysiert und teilweise auch gesteuert werden.</p>
<p>In einem hybriden Laborsetting wird der Digitale Zwilling sowohl für Remote-Studierende als auch für Vor-Ort-Studierende gleichermaßen eingesetzt, um <b>reale Messungen mit simulierten Daten abzugleichen</b>, <b>„Was wäre, wenn“ -Szenarien zu modellieren</b> oder Parameter virtuell zu variieren – also Handlungen durchzuführen, die im Labor vor Ort aus Sicherheits-, Nachhaltigkeits- oder Kostenaspekten evtl. nicht (wiederholt) möglich oder mit Risiken verbunden sind. Durch die enge Anbindung an die Fertigungsanlage im Labor wird die Arbeit mit dem digitalen Zwilling als wichtige und notwendige Voraussetzung für die Praxis verstanden und somit als gleichwertig gesetzt.</p>""\";-;-;-;-;-;-;-;-;-;-;-;-;<<COMING SOON>>;<<COMING SOON>>;<<COMING SOON>>;<<COMING SOON>>;toolsDatenschutz, privateEcke, wartezeitHyb, darstellungsformen, notHyFlex;chatiquetteHybLv1, moderationHybSimple;chatiquetteLv2, moderationHybSimple;chatiquetteLv2, moderationHybGr, gruppenarbHyb;zeitmanagementV3;zeitmanagementV2;zeitmanagementV1;zeitmanagementV1, woechCheckin;-;-;-;-
